identifier,permalink,shcn,label
4sfn,https://joeeasterly.github.io/go/4sfn,651,south side surface
59xk,https://joeeasterly.github.io/go/59xk,654,bay 654
6ycg,https://joeeasterly.github.io/go/6ycg,655,bay 655
72rc,https://joeeasterly.github.io/go/72rc,659,bay 659
9gcp,https://joeeasterly.github.io/go/9gcp,658,bay 658
bq7f,https://joeeasterly.github.io/go/bq7f,650,north side surface
dxa2,https://joeeasterly.github.io/go/dxa2,653,bay 653
gema,https://joeeasterly.github.io/go/gema,657,bay 657
jap1,https://joeeasterly.github.io/go/jap1,652,bay 652
mv1f,https://joeeasterly.github.io/go/mv1f,65,master bathroom sink
r9zm,https://joeeasterly.github.io/go/r9zm,656,bay 656
2fwk,https://joeeasterly.github.io/go/2fwk,663,bay 663
2hyz,https://joeeasterly.github.io/go/2hyz,665,master bath closet floor
431y,https://joeeasterly.github.io/go/431y,660,bay 660
a126,https://joeeasterly.github.io/go/a126,661,bay 661
h9gu,https://joeeasterly.github.io/go/h9gu,66,master bathroom closet
hvyy,https://joeeasterly.github.io/go/hvyy,664,bay 664
kj98,https://joeeasterly.github.io/go/kj98,662,bay 662